Division,Party,2012,2013,2014,2015,2016
Chesterton,LDem,0.28374074650738157,0.41941231054747913,0.3733487187649212,0.3216754125400498,0.36152037877032084
King's Hedges,Lab,0.46879943681579433,0.4302144625706765,0.39254715419476344,0.38657230935662085,0.4989037972463387
King's Hedges,UKIP,0.016326014047965572,0.029038470224481496,0.03278227708145284,0.10208933110439991,0.10032798386389546
King's Hedges,Con,0.12891539581092196,0.1217751571616866,0.11566559328862833,0.15129571452928806,0.10654739980706832
King's Hedges,Green,0.04206875276846168,0.026229885151864793,0.11219871756831463,0.10548564552511568,0.07753047443655178
King's Hedges,LDem,0.3040245523001961,0.29695449188836276,0.26075278052802703,0.23818884135311677,0.21669034464614575
King's Hedges,Ind,0.03986584825666012,0.09578753300292765,0.0860534773388137,0.01636815813145873,
Market,LDem,0.31467331041425994,0.32979297160768734,0.24610007970640016,0.27918616249812117,0.34780653502397035
Market,Green,0.17941830092650587,0.14310964441525292,0.23797177867897593,0.2652018684765825,0.17864513486818331
Market,Ind,0.09870511874770926,0.09592084114295478,0.04949095930886085,,0.07166202250078296
Market,Con,0.13769538046125798,0.15115689195755838,0.16485210521244822,0.18441348535689814,0.06210200033727085
Market,Lab,0.269507889450267,0.2706854845169248,0.30158507709331495,0.2711984836683981,0.3397843072697926
Market,UKIP,,0.009334166359621721,,,
Newnham,LDem,0.4223037358241818,0.4227495575703798,0.34931308275739525,0.3253869452918138,0.4126534866575712
Newnham,Green,0.11468904005775708,0.07832367506580677,0.17544991754499173,0.22295496517546495,0.09880346081164677
Newnham,Ind,0.03733133634973521,0.03484412101503517,0.020677658589504988,,0.02959146491309838
Newnham,Con,0.1249176020053542,0.11887848428817166,0.13102085223252002,0.1700827258615202,0.10406586049980088
Newnham,Lab,0.30075828576297187,0.34181344093750465,0.323538488875588,0.2815753636712009,0.35488572711788285
Newnham,UKIP,,0.0033907211231020144,,,
Petersfield,Con,0.18181890865480713,0.19095927821665226,0.13983753445723643,0.16365851857322206,0.14308957671415395
Petersfield,Green,0.1441455126923846,0.14544571126990644,0.21808357612499282,0.2066575585259582,0.13602413651737214
Petersfield,LDem,0.2162542474515291,0.2217540273600791,0.283095946730551,0.24080939369322799,0.22070052270165014
Petersfield,Lab,0.4577813312012793,0.44184098315336223,0.3589829426872198,0.3755040248135293,0.5001857640668239
Petersfield,UKIP,,,,0.013370504394062475,
Queen Edith's,Con,0.19042175128694241,0.14716802808344023,0.16783130039280547,0.22859745855200103,0.18564347845291318
Queen Edith's,LDem,0.2934294076145182,0.3655201512185242,0.36039694025222246,0.3100376756854223,0.3501957678801857
Queen Edith's,Lab,0.4479082285923332,0.39479848781475735,0.35268141409964854,0.28565761627741454,0.36535555296144273
Queen Edith's,Green,0.06824061250620606,0.06864240869506515,0.11271173592447109,0.12253233750581267,0.08217833964859589
Queen Edith's,UKIP,,0.023870924188213058,,0.05317491197934956,0.016626861056862605
Queen Edith's,Ind,,,0.006378609330852457,,
Romsey,Con,0.1006020709218066,0.073376765684458,0.09336875089471759,0.11963744129217864,0.07054776775132435
Romsey,LDem,0.3418537214047901,0.38794254178869564,0.3229254481540981,0.28924282074834057,0.30195855773418073
Romsey,Green,0.024487165717968,0.06264485751665239,0.13671814937939736,0.19769501395123135,0.092768275002894
Romsey,Lab,0.38869900876256425,0.3669635208096747,0.43896567995885627,0.37816329006429694,0.5199190778847796
Romsey,Soc,0.1443580331928712,0.03918209046414175,,,
Romsey,UKIP,,0.06989022373637759,,0.015261433943952444,0.014806321626821162
Romsey,Ind,,,0.008021971612930591,,
Trumpington,Lab,0.2126897616147975,0.19818441811127913,0.1863187169240739,0.2376244248407053,0.262229360913056
Trumpington,Green,0.1276813813560344,0.10438716785634751,0.14865266227454368,0.14582025178337982,0.10075130368164921
Trumpington,Con,0.32789721823640766,0.31179600782962363,0.268738524678691,0.26857494312742547,0.22154317602096338
Trumpington,LDem,0.3317316387927604,0.38563240620274974,0.3962900961226915,0.3046774475794415,0.4154761593843314
Trumpington,UKIP,,,,0.04330293266904794,
